ALHL2012,HUMAN ANATOMY AND PHYSIOLOGY I,3
EDUC1051,INTRODUCTION TO EDUCATION,3
ESCI1151,SCIENCE FOR PRIMARY SCHOOL TEACHERS,3
CMPS3012,MANAGEMENT INFORMATION SYSTEM,3
CMPS1211,HARDWARE FUNDAMENTALS,0
CMPS1192,NETWORKING FUNDAMENTALS,0
NRMP1151,FUNDAMENTALS FOR ENVIRONMENTAL MANAGERS,3
LITR2357,LATIN AMERICAN LITERATURE I,3
ANTH1014,INTRODUCTION TO ANTHROPOLOGY,3
ENL090,DEVELOPMENTAL ENGLISH,0
TOUR1014,INTRODUCTION TO TOURISM,3
TOUR1052,TOURISM GEOGRAPHY,3
BLDG1151,MASONRY,2
CIVL1101,PROPERTIES OF MATERIAL I,2
BLDG1401,BUILDING CONSTRUCTION & DRAWING I,3
BLDG1201,CARPENTRY & JOINERY (THEORY),2
BLDG1101,GEOMETRICAL DRAWING I,2
MATH1045,PRE-CALCULUS,3
BIOL1102,GENETICS,3
CHEM1042,CHEMISTRY FOR ENGINEERS,2
ACAD1102L,COMPUTER AIDED DRAFTING I,2
MATH0014,DEVELOPMENTAL MATH,3
ENGL0095,PRE-COLLEGE ENGLISH II,3
ELEC1401,ELECTRICAL ENGINEERING SCIENCE I,3
MECH1451,MECHANICAL ENGINEERING SCIENCE I,3
ENGL0014,DEVELOPMENTAL ENGLISH,0
ENGL0090,PRE-COLLEGE ENGLISH I,3
CMPS090,REMEDIAL COMPUTER,0
